cultivar,replication,comas,oxapampa
Kori-INIA,III,0.248,0.615
LB-(AWASH),III,0,0.684
LB-III-(PRECODEPA),III,0.512,0.678
LBr-40,III,0.011,0.031
LB-VII-(Chaposa),III,0.328,0.54
LT-5,III,0.64,0.207
Maria-Bonita-INIA,III,0.505,0.437
MariaHuanca,III,0.724,0.694
Maria-Tambena,III,0.541,0.605
MF-IxTPS-13(CIP-SURAJ),III,0.428,0.677
Muruta,III,0.43,0.605
Muziranzara,III,0.019,0.094
P-9,III,0.364,0.623
Perricholi,III,0,0.627
PIMPERNEL,III,0.639,0.654
REICHE,III,0.596,0.685
Rukinzo,III,0.383,0.109
SantaAna,III,0.56,0.602
Tacna,III,0.641,0.722
Tahuaquea,III,0.736,0.676
TIBISAY,III,0.225,0.642
Tubira,III,0.593,0.616
UNICA,III,0.49,0.616
Victoria,III,0.424,0.165
Yana,III,0,0.744
Yayla-Kizi,III,0.72,0.668
